,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
165,Shotgun,Staying at Tamara's,George Ezra,2018-03-23,201287,80,0.673,0.286,0.735,0.0,0.242,-4.733,0.0457,115.744,0.754
166,"It Must Have Been Love - From the Film ""Pretty Woman""",It Must Have Been Love,Roxette,1990-05-20,258786,80,0.52,0.34,0.652,5.49e-05,0.256,-6.655,0.0274,80.609,0.722
167,Take Me to Church,Hozier (Expanded Edition),Hozier,2014-09-19,241693,80,0.566,0.634,0.664,0.0,0.116,-5.303,0.0464,128.945,0.437
168,I Will Always Love You,The Bodyguard - Original Soundtrack Album,Whitney Houston,1992-11-17,271093,80,0.332,0.845,0.214,5.62e-06,0.0839,-12.518,0.0349,67.531,0.11
169,Tiny Dancer,Madman Across The Water,Elton John,1971-11-05,377093,80,0.414,0.382,0.428,0.000243,0.148,-11.097,0.0278,145.075,0.282
170,So What,Funhouse (Expanded Edition),P!nk,2008-10-24,215160,80,0.534,0.000334,0.87,0.0,0.241,-3.078,0.0425,126.019,0.462
171,Valerie (feat. Amy Winehouse) - Version Revisited,Version,Mark Ronson,2007-04-16,219413,80,0.699,0.00243,0.83,0.00024,0.0995,-4.898,0.0633,105.809,0.889
172,Mambo No. 5 (a Little Bit of...),A Little Bit of Mambo,Lou Bega,1999-07-19,220293,79,0.622,0.103,0.807,0.0,0.306,-6.752,0.408,174.06,0.892
173,Flashdance...What a Feeling - Radio Edit,What a Feelin',Irene Cara,1983-11-02,237053,79,0.572,0.0058,0.654,3.21e-06,0.09,-7.027,0.0344,122.491,0.399
174,A Thousand Miles,Be Not Nobody,Vanessa Carlton,2002-04-30,237493,79,0.56,0.323,0.825,0.0,0.161,-3.862,0.0379,94.931,0.268
175,Hot In Herre,Nellyville,Nelly,2002-06-25,228240,79,0.956,0.206,0.745,0.0,0.0615,-4.753,0.12,107.075,0.912
176,Shake It Off,1989,Taylor Swift,2014-10-27,219200,79,0.647,0.0561,0.785,0.0,0.148,-5.414,0.165,160.015,0.943
177,Use Somebody,Only By The Night,Kings of Leon,2008-09-23,230760,79,0.276,0.00552,0.715,0.000417,0.201,-5.356,0.0432,137.028,0.173
178,Forever,Forever,Chris Brown,2008-04-29,278573,79,0.672,0.0368,0.82,0.000188,0.184,-4.456,0.0459,120.005,0.438
179,comethru,"summer,",Jeremy Zucker,2018-09-28,181613,79,0.795,0.607,0.178,0.0,0.623,-11.991,0.0574,93.982,0.608
180,Material Girl,Celebration (double disc version),Madonna,2009-09-18,240280,79,0.742,0.333,0.883,7.51e-06,0.0964,-3.419,0.0329,136.506,0.978
181,Fight Song,Wildfire,Rachel Platten,2016-01-01,204013,79,0.564,0.0549,0.714,0.0,0.155,-4.987,0.129,175.924,0.33
182,Want to Want Me,Everything Is 4,Jason Derulo,2015-05-29,207719,79,0.775,0.00906,0.68,0.0,0.109,-5.508,0.0629,114.025,0.656
183,We Built This City,Knee Deep In The Hoopla,Starship,1985-09-10,296080,79,0.661,0.052,0.908,0.0,0.0708,-4.897,0.039,144.091,0.656
184,Torn,Left Of The Middle,Natalie Imbruglia,1997-11-10,244666,79,0.575,0.0647,0.886,0.000187,0.709,-5.182,0.034,96.31,0.609
185,You Can Call Me Al,Graceland (25th Anniversary Deluxe Edition),Paul Simon,1986-08-12,280000,79,0.776,0.182,0.763,0.00647,0.077,-8.124,0.0534,128.433,0.82
186,You're Beautiful,Back to Bedlam,James Blunt,2005-08-08,209493,78,0.675,0.633,0.479,1.76e-05,0.088,-9.87,0.0278,81.998,0.454
