,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
104,Round - Four Tet Remix,Round (Four Tet Remix),Hagop Tchaparian,2022-10-06,371250,31,0.737,0.00215,0.711,0.927,0.0533,-7.955,0.13,128.004,0.3
105,Fervedouro Dois,Fervedouro Dois,Pandit Pam Pam,2022-09-30,241447,26,0.803,0.946,0.159,0.931,0.104,-17.751,0.055,123.153,0.413
106,Ah! Se tú soubesses,Simples,Luis Vagner,1974-01-01,294613,16,0.464,0.0108,0.366,0.064,0.132,-16.838,0.0417,69.42,0.374
107,Uma Canção a Mais,O Semideus,Various Artists,1974-09-14,176640,33,0.263,0.634,0.724,0.917,0.517,-8.436,0.0427,87.927,0.569
108,Barbwire,Skaface,Skaface,2014-11-17,141266,21,0.67,0.293,0.295,0.0074,0.161,-8.728,0.0381,87.656,0.795
109,Oh Mama,Oh Mama / The Sting,Augustus Pablo,2011-08-03,136520,11,0.471,0.052,0.577,0.000834,0.123,-4.496,0.0629,78.793,0.639
110,North Star,060,A+A,2022-09-30,403172,36,0.694,0.122,0.986,0.917,0.116,-9.88,0.054,134.0,0.58
111,Muranyi,Muranyi / Balaton,Pryda,2007-03-05,482500,31,0.762,0.00617,0.643,0.909,0.0561,-10.488,0.0585,128.009,0.37
112,All the Chimers,My Angel Rocks Back and Forth,Four Tet,2004-05-03,196346,10,0.297,0.396,0.358,0.0013,0.29,-17.615,0.0407,78.116,0.303
113,Way Back Fifties,Can You Feel It?,The Drive,1975-11-28,794788,10,0.574,0.0118,0.569,0.12,0.102,-10.523,0.0364,114.573,0.785
114,Pax - Four Tet Remix,Steamin EP,Chloé Robinson,2022-09-23,320000,41,0.769,0.00839,0.842,0.892,0.0621,-8.6,0.0505,134.02,0.347
115,Right to Riot,Right to Riot,Hagop Tchaparian,2022-09-20,300392,28,0.345,0.105,0.803,0.893,0.139,-8.567,0.0484,135.214,0.0839
116,Problems,Problems,Floating Points,2022-09-21,277239,45,0.703,0.0189,0.873,0.57,0.316,-9.467,0.0562,136.0,0.534
117,Rhos Fiddle,Chosta-del-sol,Jorg Kuning,2022-09-16,421500,13,0.791,0.109,0.877,0.812,0.178,-7.207,0.042,130.022,0.569
118,Fourth of July - Acapella,Butterfly: 25th Anniversary Expanded Edition,Mariah Carey,2022-09-16,256691,29,0.325,0.763,0.192,0.0,0.17,-14.295,0.0434,147.947,0.334
119,Persuasion,When the Lights Go,Totally Enormous Extinct Dinosaurs,2022-09-09,90580,28,0.406,0.937,0.513,0.1,0.108,-10.766,0.0478,120.006,0.228
120,Cutie - Edit,Cutie,Shanti Celeste,2022-09-14,240723,36,0.778,0.00098,0.559,0.904,0.0825,-9.474,0.0467,140.01,0.35
121,Arrow,Arrow,Daphni,2022-09-12,187564,0,0.723,0.0971,0.951,0.174,0.173,-7.41,0.0359,133.997,0.688
122,Behold,Cry Sugar,Hudson Mohawke,2022-08-12,140013,0,0.578,0.00146,0.831,0.0453,0.604,-2.324,0.0434,165.214,0.457
123,My Angel Rocks Back and Forth,My Angel Rocks Back and Forth,Four Tet,2004-05-03,310413,9,0.668,0.475,0.607,0.918,0.326,-11.673,0.0306,121.048,0.274
124,Generous Palmstroke,Hidden Place (Vol.1),Björk,2001-11-05,266133,22,0.405,0.886,0.241,0.0,0.132,-10.283,0.0316,80.175,0.24
125,Hula Om,Prati Bagnati Del Monte Analogo,Raul Lovisoni,2018-08-31,566966,28,0.318,0.994,0.127,0.957,0.11,-25.613,0.0509,113.992,0.306
126,I'm A Little Teapot with Stream Sounds (Harp Instrumental),Harp Songs with River White Noise to Put Your Toddler to Sleep,Lullabies In Nature,2020-12-09,61999,9,0.712,0.984,0.101,0.948,0.112,-18.946,0.0453,120.051,0.533
127,Tibetian Serenity,Solar Funk,Travis Biggs,1979,322293,32,0.563,0.0417,0.672,0.332,0.325,-11.222,0.0559,108.723,0.4
128,Law Laffeina El Ard - Habibi Funk 020,Law Laffeina El Ard (Habibi Funk 020),Maha,2022-09-01,376000,0,0.465,0.0914,0.873,0.036,0.0966,-8.881,0.217,141.043,0.565
